No,Title,US_Viewers,Season,rate
1,"""Winter Is Coming""",2220000,Season 1,0
2,"""The Kingsroad""",2200000,Season 1,-0.009009009
3,"""Lord Snow""",2440000,Season 1,0.109090909
4,"""Cripples, Bastards, and Broken Things""",2450000,Season 1,0.004098361
5,"""The Wolf and the Lion""",2580000,Season 1,0.053061224
6,"""A Golden Crown""",2440000,Season 1,-0.054263566
7,"""You Win or You Die""",2400000,Season 1,-0.016393443
8,"""The Pointy End""",2720000,Season 1,0.133333333
9,"""Baelor""",2660000,Season 1,-0.022058824
10,"""Fire and Blood""",3040000,Season 1,0.142857143
11,"""The North Remembers""",3860000,Season 2,0.269736842
12,"""The Night Lands""",3760000,Season 2,-0.025906736
13,"""What Is Dead May Never Die""",3770000,Season 2,0.002659574
14,"""Garden of Bones""",3650000,Season 2,-0.031830239
15,"""The Ghost of Harrenhal""",3900000,Season 2,0.068493151
16,"""The Old Gods and the New""",3880000,Season 2,-0.005128205
17,"""A Man Without Honor""",3690000,Season 2,-0.048969072
18,"""The Prince of Winterfell""",3860000,Season 2,0.046070461
19,"""Blackwater""",3380000,Season 2,-0.124352332
20,"""Valar Morghulis""",4200000,Season 2,0.24260355
21,"""Valar Dohaeris""",4370000,Season 3,0.04047619
22,"""Dark Wings, Dark Words""",4270000,Season 3,-0.022883295
23,"""Walk of Punishment""",4720000,Season 3,0.105386417
24,"""And Now His Watch Is Ended""",4870000,Season 3,0.031779661
25,"""Kissed by Fire""",5350000,Season 3,0.098562628
26,"""The Climb""",5500000,Season 3,0.028037383
27,"""The Bear and the Maiden Fair""",4840000,Season 3,-0.12
28,"""Second Sons""",5130000,Season 3,0.059917355
29,"""The Rains of Castamere""",5220000,Season 3,0.01754386
30,"""Mhysa""",5390000,Season 3,0.03256705
31,"""Two Swords""",6640000,Season 4,0.231910946
32,"""The Lion and the Rose""",6310000,Season 4,-0.049698795
33,"""Breaker of Chains""",6590000,Season 4,0.04437401
34,"""Oathkeeper""",6950000,Season 4,0.054628225
35,"""First of His Name""",7160000,Season 4,0.030215827
36,"""The Laws of Gods and Men""",6400000,Season 4,-0.106145251
37,"""Mockingbird""",7200000,Season 4,0.125
38,"""The Mountain and the Viper""",7170000,Season 4,-0.004166667
39,"""The Watchers on the Wall""",6950000,Season 4,-0.030683403
40,"""The Children""",7100000,Season 4,0.021582734
